% Contained,Acres,Name,current_as_of,lat,lng
 30%,76825 ,Kincade Fire,7:04am,38.792458,-122.780053
 97%,8799 ,Saddle Ridge Fire,10/23/2019,34.32988,-118.48161
 94%,4615 ,Tick Fire,7:14am,34.472778,-118.368056
 5%,970 ,Easy Fire,10:27am,34.282179,-118.803389
 85%,703 ,Burris Fire,7:10am,39.22431,-123.12887
 0%,50 ,Hill Fire ,11:20am,34.01778,-117.4625
%,Not a CAL FIRE Incident,Getty Fire ,10/28/2019,34.098191,-118.478717
%,Not a CAL FIRE Incident,Old Water Fire,10/24/2019,34.183624,-117.274276
%,Not a CAL FIRE Incident,Palisades Fire,10/22/2019,34.055768,-118.554091
%,Not a CAL FIRE Incident,Caples Fire,10/14/2019,38.724,-120.145
